laptop_name,item_number,brand,platform,processor,processor_type,processor_cores,processor_speed,ram,storage,storage_type,screen_size,resolution,graphics_chipset,graphics,os,retail_price
"HP OMEN 17.3"" Gaming Laptop",10552523,HP,Windows,Intel Core i7-6700HQ,Intel,4,2.6,12,1024,HDD,17.3,1920 x 1080,NVIDIA GeForce GTX 960M,NVIDIA,Windows 10 Home,1399.99
"Acer Aspire E 14"" Laptop ",10550139,Acer,Windows,Intel Core i5-6200U,Intel,2,2.3,8,1024,HDD,14,1366 x 768,Intel HD Graphics 520,Intel,Windows 10 Home,679.99
"Acer Aspire ES 17.3"" Laptop",10550143,Acer,Windows,Intel Pentium N4200,Intel,4,1.1,4,500,HDD,17.3,1600 x 900,Intel HD Graphics 505,Intel,Windows 10 Home,498.98
"ASUS VivoBook X541 15.6"" Laptop",10573738,Asus,Windows,Intel Core i7-7500U,Intel,2,2.7,8,1024,HDD,15.6,1366 x 786,NVIDIA GT920M,NVIDIA,Windows 10 (64-Bit),899.99
"Acer 10.1"" Touchscreen Convertible Laptop",10459531,Acer,Windows,Intel Atom x5-Z8300,Intel,4,1.44,4,64,eMMC,10.1,1280 x 800,Intel® HD Graphics,Intel,Windows 10 Home,349.99
"HP Pavilion 15.6"" Touchscreen Laptop",10447754,HP,Windows,Intel Core i7-6500U,Intel,2,2.5,12,2048,HDD,15.6,1366 x 768,Intel HD Graphics 520,Intel,Windows 10 Home,1199.99
"ASUS VivoBook X541 15.6"" Touchscreen Laptop",10573739,Asus,Windows,Intel Core i5-7200U,Intel,2,2.5,8,1024,HDD,15.6,1366 x 786,Intel HD,Intel,Windows 10 (64-bit),799.99
"HP 15.6"" Laptop",10440263,HP,Windows,Intel Celeron N3060,Intel,2,1.6,4,500,HDD,15.6,1366 x 768,Intel HD Graphics 400,Intel,Windows 10 Home,349.99
"HP 255 G5 15.6"" Notebook",10451113,HP,Windows,AMD E-Series E2-7110 ,AMD,4,1.8,4,500,HDD,15.6,1366 x 768,Radeon R2 Graphics,AMD,Windows 10 Pro (English),460.95
"Acer TravelMate P446-M TMP446-M-53B7 14"" LED (ComfyView) Notebook",10426076,Acer,Windows,Intel Core i5 i5-5200U,Intel,2,2.2,4,500,HDD,14,1366 x 768,HD 5500,Intel,Windows 7 Professional,899.95
"Acer Aspire E 17.3"" Laptop ",10550137,Acer,Windows,Intel Core i5-6200U,Intel,2,2.3,8,1024,HDD,17.3,1600 x 900,NVIDIA GeForce 940MX,NVIDIA,Windows 10 Home,749.98
Lenovo E560,10561830,Lenovo,Windows,Core i5,Intel,2,2.3,8,256,SSD,15.6,1920 x 1080,HD Graphics 520,Intel,Windows 7 Professional Upgradable to Windows 10 Pro (English),1151.95
"ASUS ROG Strix GL502 15.6"" Gaming Laptop",10562718,Asus,Windows,Intel Core i7-7700HQ,Intel,4,2.8,16,1152,SSHD,15.6,1920 x 1080,NVIDIA GTX1060,NVIDIA,Windows 10 Home (64-Bit),1848.98
"Acer Predator 17.3"" Gaming Laptop",10588735,Acer,Windows,Intel Core i7-7820HK,Intel,4,2.9,32,1536,SSHD,17.3,1920 x 1080,NVIDIA GeForce GTX 1080,NVIDIA,Windows 10 Home 64-bit,3499.98
